Property_ID_Raw,Sale_Counter,Street_Number,Street_Name,Suburb,Postcode,Land Size,Contract_Date,Settlement_Date,Sale_Price,Zoning,Property_type,Dealing_Number,Contract_Year,Days_to_Settlement,Land Size Original
3410896,2,31,THIRD AVE,Blacktown,2148,556.4,2026-07-05,2026-08-17,420000,,RESIDENCE,AW379402,2026,43,556.4
4166943,7,3,BALMORAL ST,Blacktown,2148,104.0,2026-07-05,2026-08-14,600000,,RESIDENCE,AW377022,2026,40,104.0
6066721,25,9,HIGHLANDS CRES,Blacktown,2148,238.0,2025-03-29,2026-08-20,950000,,RESIDENCE,AW391124,2025,509,238.0
6044673,30,99,STEPHEN ST,Blacktown,2148,512.0,2025-11-07,2026-04-01,1495000,R2,RESIDENCE,AV999718,2025,145,512.0
2166863,85,28,CAVENDISH AVE,Blacktown,2148,556.4,2026-07-06,2026-08-17,1110000,R2,RESIDENCE,AW379383,2026,42,556.4
2159777,90,27,BIMBIL ST,Blacktown,2148,689.2,2026-07-05,2026-08-17,1310000,R2,RESIDENCE,AW381289,2026,43,689.2
2195579,96,3,KINGSFORD ST,Blacktown,2148,765.1,2026-07-07,2026-08-18,1050000,R2,RESIDENCE,AW384286,2026,42,765.1
2185346,103,7,GRIFFITHS ST,Blacktown,2148,556.4,2026-07-09,2026-08-20,410000,,RESIDENCE,AW391412,2026,42,556.4
2180221,105,313,FLUSHCOMBE RD,Blacktown,2148,556.4,2026-07-10,2026-08-14,920000,,RESIDENCE,AW377786,2026,35,556.4
2194434,114,31,KERRY RD,Blacktown,2148,608.53,2026-07-25,2026-08-14,967000,R2,RESIDENCE,AW377030,2026,20,608.53
4110319,120,1,BOYS AVE,Blacktown,2148,101.0,2026-07-13,2026-08-17,570000,,RESIDENCE,AW379138,2026,35,101.0
2181097,135,25,FOURTH AVE,Blacktown,2148,556.4,2026-07-06,2026-08-17,463000,,RESIDENCE,AW379261,2026,42,556.4
2229947,140,82,STEPHEN ST,Blacktown,2148,557.33,2026-07-02,2026-08-17,1150000,R2,RESIDENCE,AW380705,2026,46,557.33
2230257,142,43,STEWART AVE,Blacktown,2148,696.77,2026-07-07,2026-08-18,1305000,R2,RESIDENCE,AW384757,2026,42,696.77
2228877,150,2,SPARKLE AVE,Blacktown,2148,556.4,2026-07-03,2026-08-14,1100000,R2,RESIDENCE,AW376879,2026,42,556.4
2229657,154,4,STARR PL,Blacktown,2148,701.9,2026-07-04,2026-08-17,1200000,R2,RESIDENCE,AW381155,2026,44,701.9
2218945,155,8,PROSPECT ST,Blacktown,2148,556.4,2026-07-10,2026-08-14,1050000,R2,RESIDENCE,AW376108,2026,35,556.4
3642903,164,1,TARA RD,Blacktown,2148,300.0,2026-07-15,2026-08-19,820000,R2,RESIDENCE,AW385533,2026,35,300.0
4449486,171,10,CARINYA ST,Blacktown,2148,103.0,2026-07-09,2026-08-19,590000,,RESIDENCE,AW386962,2026,41,103.0
4247316,3,5,SECOND AVE,Blacktown,2148,111.0,2026-06-27,2026-08-11,443000,,RESIDENCE,AW367746,2026,45,111.0
6066721,12,9,HIGHLANDS CRES,Blacktown,2148,258.0,2025-04-08,2026-08-13,993000,,RESIDENCE,AW373440,2025,492,258.0
2210637,48,63,NEWHAVEN AVE,Blacktown,2148,866.3,2026-06-13,2026-08-12,1300000,R2,RESIDENCE,AW369101,2026,60,866.3
2172222,50,11,DAN AVE,Blacktown,2148,581.7,2026-07-02,2026-08-13,1410000,R2,RESIDENCE,AW373197,2026,42,581.7
2213533,53,67,ORWELL ST,Blacktown,2148,556.4,2026-06-26,2026-08-07,840000,,RESIDENCE,AW359361,2026,42,556.4
3198476,88,21,THIRD AVE,Blacktown,2148,556.4,2026-06-29,2026-08-10,420000,,RESIDENCE,AW363895,2026,42,556.4
3234330,90,8,WALLACE ST,Blacktown,2148,556.4,2026-07-01,2026-08-12,491000,,RESIDENCE,AW370731,2026,42,556.4
3687272,95,1,CARINYA ST,Blacktown,2148,229.0,2026-07-02,2026-08-13,980000,,RESIDENCE,AW371929,2026,42,229.0
2195139,97,25,KILDARE RD,Blacktown,2148,556.4,2026-06-30,2026-08-11,470000,,RESIDENCE,AW366089,2026,42,556.4
3293974,99,19,THIRD AVE,Blacktown,2148,556.4,2026-06-30,2026-08-11,415000,,RESIDENCE,AW366636,2026,42,556.4
4452534,101,8 B,ALLAWAH ST,Blacktown,2148,149.0,2026-07-01,2026-08-12,760000,,RESIDENCE,AW370554,2026,42,149.0
2155529,14,2,ARCHER ST,Blacktown,2148,607.0,2026-05-29,2026-08-04,985000,R2,RESIDENCE,AW349284,2026,67,607.0
2154010,16,52 A,ALLAWAH ST,Blacktown,2148,817.6,2026-07-04,2026-08-04,1881000,R2,RESIDENCE,AW348814,2026,31,817.6
2162270,17,23,BRISTOL CCT,Blacktown,2148,455.0,2026-06-27,2026-08-05,950000,R2,RESIDENCE,AW353419,2026,39,455.0
2165195,18,22,CANSDALE ST,Blacktown,2148,556.4,2026-06-22,2026-08-04,999999,R2,RESIDENCE,AW347828,2026,43,556.4
2203406,23,25,MANTAKA ST,Blacktown,2148,556.4,2026-06-21,2026-08-04,425000,,RESIDENCE,AW349772,2026,44,556.4
2203406,24,25,MANTAKA ST,Blacktown,2148,556.4,2026-06-25,2026-08-06,423000,,RESIDENCE,AW355736,2026,42,556.4
2174648,31,81,DOONSIDE CRES,Blacktown,2148,714.5,2026-05-05,2026-08-04,1190000,R2,RESIDENCE,AW349352,2026,91,714.5
2186533,56,105,HAROLD ST,Blacktown,2148,539.2,2026-06-20,2026-08-04,1225000,R2,RESIDENCE,AW349254,2026,45,539.2
2202610,57,3,MALCOLM ST,Blacktown,2148,564.03,2026-06-19,2026-07-31,1180000,R2,RESIDENCE,AW340137,2026,42,564.03
2220985,65,177,RESERVOIR RD,Blacktown,2148,556.4,2026-07-03,2026-07-31,635000,,RESIDENCE,AW340703,2026,28,556.4
3166844,74,20,CLIFTON ST,Blacktown,2148,556.4,2026-06-24,2026-08-05,410000,,RESIDENCE,AW351696,2026,42,556.4
3234330,75,8,WALLACE ST,Blacktown,2148,556.4,2026-06-21,2026-08-04,442000,,RESIDENCE,AW348497,2026,44,556.4
3234330,76,8,WALLACE ST,Blacktown,2148,556.4,2026-06-19,2026-07-31,465000,,RESIDENCE,AW340912,2026,42,556.4
3311689,81,69,HOLBECHE RD,Blacktown,2148,556.4,2026-03-25,2026-08-03,680000,,RESIDENCE,AW346539,2026,131,556.4
4388862,85,30,FLYER GLD,Blacktown,2148,144.1,2026-06-23,2026-08-04,880000,R1,RESIDENCE,AW347926,2026,42,144.1
960871,4,11,HERCULES ST,Chatswood,2067,1067.35,2026-06-06,2026-08-03,4600000,R2,RESIDENCE,AW345678,2026,58,1067.35
